saleId,customerId,empId,totalbill,date_time
1,4,101,780.00,2024-12-30 11:15:28
2,5,101,1610.00,2024-12-30 11:18:45
3,6,104,1050.0,2024-12-30 11:46:55
4,7,102,1300.0,2024-12-30 11:57:32
5,8,105,880.0,2024-12-30 12:02:04
6,9,105,1270.0,2024-12-30 12:03:51
7,10,103,1435.0,2024-12-30 12:20:48
8,11,106,135.0,2024-12-30 13:00:09
9,12,104,2105.0,2024-12-30 15:49:01
10,13,106,390.0,2024-12-30 20:25:54
11,14,105,970.0,2024-12-30 20:30:49
12,15,101,770.0,2024-12-30 20:33:59
13,16,103,610.0,2024-12-30 20:39:56
14,17,101,650.0,2024-12-30 20:43:37
15,18,105,895.0,2024-12-30 20:45:02
16,19,103,1300.0,2024-12-31 12:57:43
17,20,106,690.0,2024-12-31 13:10:27
18,21,103,330.0,2024-12-31 13:12:12
19,22,105,1055.0,2024-12-31 13:13:41
20,23,103,250.0,2024-12-31 13:21:49
21,24,106,1860.0,2025-01-02 11:47:55
22,25,101,1030.0,2025-01-02 11:51:22
23,26,102,2660.0,2025-01-02 11:54:04
